City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,palu,-0.8917,119.8707,296.94,97,100,1.61,ID,1730566720
158,lodja,-3.4833,23.4333,295.98,93,96,1.14,CD,1730566721
159,mossel bay,-34.1831,22.146,293.11,85,89,1.83,ZA,1730566722
160,kyzyl-suu,42.3414,78.0056,281.02,45,38,3.19,KG,1730566723
161,al hudaydah,14.7978,42.9545,302.66,64,0,6.53,YE,1730566724
162,mount isa,-20.7333,139.5,293.02,26,0,2.06,AU,1730566725
163,tamanrasset,22.785,5.5228,297.1,19,0,7.2,DZ,1730566726
164,thompson,55.7435,-97.8558,268.24,100,100,3.6,CA,1730566487
165,mount pearl,47.5166,-52.7813,278.96,74,75,7.2,CA,1730566728
166,la passe,45.5549,-0.8967,289.32,77,0,3.62,FR,1730566730
167,chinde,26.8212,87.7095,294.23,81,12,2.2,NP,1730566731
168,klyuchi,52.2667,79.1667,278.46,80,98,6.4,RU,1730566732
169,qamdo,31.1667,97.2333,275.78,45,41,2.03,CN,1730566733
170,suva,-18.1416,178.4415,296.86,100,40,1.03,FJ,1730566450
171,san luis,-33.295,-66.3356,294.83,27,6,9.81,AR,1730566688
172,saint-pierre,-21.3393,55.4781,297.97,73,100,6.17,RE,1730566737
173,america dourada,-11.4553,-41.4361,306.97,24,54,4.49,BR,1730566740
174,comodoro rivadavia,-45.8667,-67.5,289.07,18,0,6.17,AR,1730566472
175,saipan,15.1355,145.701,300.54,83,0,3.6,MP,1730566742
176,boca suno,-0.7167,-77.1333,307.59,41,89,1.92,EC,1730566743
177,tazacorte,28.629,-17.9293,294.69,84,75,3.13,ES,1730566744
178,mata-utu,-13.2816,-176.1745,300.64,82,100,4.47,WF,1730566745
179,mana,5.6592,-53.7767,303.62,66,32,6.12,GF,1730566746
180,narvik,68.4384,17.4272,272.18,89,100,4.07,NO,1730566747
181,lazaro cardenas,17.9583,-102.2,302.42,70,5,1.1,MX,1730566479
182,smithers,54.7804,-127.1743,272.33,100,100,0.0,CA,1730566749
183,arraial do cabo,-22.9661,-42.0278,302.13,78,20,10.29,BR,1730566526
184,aasiaat,68.7098,-52.8699,263.32,93,87,3.48,GL,1730566752
185,boguchany,58.3814,97.4531,266.7,86,32,1.07,RU,1730566753
186,kapuskasing,49.4169,-82.4331,272.2,86,75,3.09,CA,1730566504
187,lyantonde,-0.4031,31.1572,292.6,87,76,1.37,UG,1730566755
188,la libertad,-2.2333,-80.9,295.96,68,75,5.14,EC,1730566756
189,mantyharju,61.4167,26.8833,273.83,71,47,4.42,FI,1730566757
190,sona,45.4388,10.8255,287.66,85,0,1.03,IT,1730566758
191,pacific grove,36.6177,-121.9166,287.25,95,100,3.13,US,1730566760
192,chui,-33.6971,-53.4616,301.27,62,49,3.86,UY,1730566761
193,tolanaro,-25.0319,46.9987,298.19,78,20,9.77,MG,1730566762
194,el jem,35.3,10.7167,294.52,68,2,3.95,TN,1730566763
195,santa terezinha,-29.9002,-50.0904,296.17,83,63,7.29,BR,1730566764
196,chandla,25.0833,80.2,296.89,33,0,1.78,IN,1730566765
197,merida,20.9667,-89.6167,302.6,70,0,2.24,MX,1730566621
198,longyearbyen,78.2186,15.6401,272.06,80,75,4.12,SJ,1730566767
199,dryden,49.7833,-92.7503,274.31,80,100,1.54,CA,1730566768
200,kyosai,34.8503,128.5886,289.09,73,0,5.89,KR,1730566769
201,santa elena de uairen,4.6167,-61.1333,302.84,40,95,3.67,VE,1730566771
